anio_lectivo,amie,nombre_institucion,provincia,cod_provincia,canton,cod_canton,nivel_educacion,sostenimiento,total_estudiantes
2023-2024 Inicio,09H01538,UNIDAD EDUCATIVA PARTICULAR TERESA AZUCENA CARRERA LOOR,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,35
2023-2024 Inicio,17H01750,UNIDAD EDUCATIVA PARTICULAR TERRANOVA,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,86
2023-2024 Inicio,17H02121,UNIDAD EDUCATIVA PARTICULAR THE BRITISH SCHOOL,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,12
2023-2024 Inicio,17H01087,UNIDAD EDUCATIVA PARTICULAR TOMAS MORO,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,62
2023-2024 Inicio,01H00001,UNIDAD EDUCATIVA PARTICULAR UNITEC DISCOVERY CRISTO REY,AZUAY,1,CUENCA,101,"Educación Inicial, Educación General Básica y Bachillerato",Particular,19
2023-2024 Inicio,01H00694,UNIDAD EDUCATIVA PARTICULAR VERBO,AZUAY,1,CUENCA,101,"Educación Inicial, Educación General Básica y Bachillerato",Particular,19
2023-2024 Inicio,11H02042,UNIDAD EDUCATIVA PARTICULAR VICENTE AGUSTIN AGUIRRE RUIZ,LOJA,11,LOJA,1101,"Educación Inicial, Educación General Básica y Bachillerato",Particular,21
2023-2024 Inicio,17H03158,UNIDAD EDUCATIVA PARTICULAR VICTORIA BILINGUAL CHRISTIAN ACADEMY,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,22
2023-2024 Inicio,09H02211,UNIDAD EDUCATIVA PARTICULAR VIDA NUEVA,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,21
2023-2024 Inicio,13H00259,UNIDAD EDUCATIVA PARTICULAR VILLA NUEVA DE PORTOVIEJO,MANABI,13,PORTOVIEJO,1301,Educación General Básica y Bachillerato,Particular,31
2023-2024 Inicio,07H00155,UNIDAD EDUCATIVA PARTICULAR VIRGEN DEL CISNE,EL ORO,7,MACHALA,701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,16
2023-2024 Inicio,17H02938,UNIDAD EDUCATIVA PARTICULAR VIRGILIO DROUET,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,10
2023-2024 Inicio,09H00630,UNIDAD EDUCATIVA PARTICULAR VISIÓN,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,26
2023-2024 Inicio,09H02723,UNIDAD EDUCATIVA PARTICULAR VOLUNTAS DEI,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Particular,128
2023-2024 Inicio,17H03168,UNIDAD EDUCATIVA PARTICULAR WILLIAM HENRY PERKIN,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,2
2023-2024 Inicio,01H00445,UNIDAD EDUCATIVA PARTICULAR YANUNCAY,AZUAY,1,CUENCA,101,Educación General Básica y Bachillerato,Particular,5
2023-2024 Inicio,09H05945,UNIDAD EDUCATIVA PARTICULAR YOUNG LIVING ACADEMY,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,22
2023-2024 Inicio,23H00840,UNIDAD EDUCATIVA PARTOCULAR EXCELSO ESPIRITU SANTO,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO,2301,"Educación Inicial, Educación General Básica y Bachillerato",Particular,27
2023-2024 Inicio,18H00242,UNIDAD EDUCATIVA PASA,TUNGURAHUA,18,AMBATO,1801,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,44
2023-2024 Inicio,09H01579,UNIDAD EDUCATIVA PASIONISTA,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,125
