anio,cod_provincia,provincia,cod_canton,canton,ciiu,vab_miles_usd
2023,1.0,AZUAY,112.0,EL PAN,CONSTRUCCIÓN,282880.0
2023,1.0,AZUAY,112.0,EL PAN,COMERCIO,134910.0
2023,1.0,AZUAY,112.0,EL PAN,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",50300.0
2023,1.0,AZUAY,112.0,EL PAN,ALOJAMIENTO Y SERVICIOS DE COMIDA,72470.0
2023,1.0,AZUAY,112.0,EL PAN,ACTIVIDADES FINANCIERAS,128940.0
2023,1.0,AZUAY,112.0,EL PAN,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,310020.0
2023,1.0,AZUAY,112.0,EL PAN,ADMINISTRACIÓN PÚBLICA,2199570.0
2023,1.0,AZUAY,112.0,EL PAN,ENSEÑANZA,338130.0
2023,1.0,AZUAY,112.0,EL PAN,SALUD,104270.0
2023,1.0,AZUAY,112.0,EL PAN,OTROS SERVICIOS,18710.0
2023,1.0,AZUAY,112.0,EL PAN,ECONOMÍA TOTAL,4012540.0
2023,1.0,AZUAY,113.0,SEVILLA DE ORO,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",124880.0
2023,1.0,AZUAY,113.0,SEVILLA DE ORO,EXPLOTACIÓN DE MINAS Y CANTERAS,0.0
2023,1.0,AZUAY,113.0,SEVILLA DE ORO,MANUFACTURA,22000.0
2023,1.0,AZUAY,113.0,SEVILLA DE ORO,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,141240440.0
2023,1.0,AZUAY,113.0,SEVILLA DE ORO,CONSTRUCCIÓN,111160.0
2023,1.0,AZUAY,113.0,SEVILLA DE ORO,COMERCIO,242230.0
2023,1.0,AZUAY,113.0,SEVILLA DE ORO,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",828940.0
2023,1.0,AZUAY,113.0,SEVILLA DE ORO,ALOJAMIENTO Y SERVICIOS DE COMIDA,103110.0
2023,1.0,AZUAY,113.0,SEVILLA DE ORO,ACTIVIDADES FINANCIERAS,465880.0
2023,1.0,AZUAY,113.0,SEVILLA DE ORO,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,1156830.0
2023,1.0,AZUAY,113.0,SEVILLA DE ORO,ADMINISTRACIÓN PÚBLICA,3463030.0
2023,1.0,AZUAY,113.0,SEVILLA DE ORO,ENSEÑANZA,829440.0
