provincia,anio,ciiu,total_vab_miles_usd
CARCHI,2024,ACTIVIDADES FINANCIERAS,40037740.0
CARCHI,2024,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,26713990.0
CARCHI,2024,ADMINISTRACIÓN PÚBLICA,91734850.0
CARCHI,2024,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",163598280.0
CARCHI,2024,ALOJAMIENTO Y SERVICIOS DE COMIDA,1764360.0
CARCHI,2024,COMERCIO,67245400.0
CARCHI,2024,CONSTRUCCIÓN,26122060.0
CARCHI,2024,ECONOMÍA TOTAL,580654100.0
CARCHI,2024,ENSEÑANZA,48367750.0
CARCHI,2024,EXPLOTACIÓN DE MINAS Y CANTERAS,1028550.0
CARCHI,2024,MANUFACTURA,15496290.0
CARCHI,2024,OTROS SERVICIOS,9032820.0
CARCHI,2024,SALUD,13307470.0
CARCHI,2024,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,6567130.0
CARCHI,2024,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",69637410.0
CAÑAR,2018,ACTIVIDADES FINANCIERAS,57792350.0
CAÑAR,2018,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,47883960.0
CAÑAR,2018,ADMINISTRACIÓN PÚBLICA,124301890.0
CAÑAR,2018,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",144482750.0
CAÑAR,2018,ALOJAMIENTO Y SERVICIOS DE COMIDA,4506400.0
CAÑAR,2018,COMERCIO,79749580.0
CAÑAR,2018,CONSTRUCCIÓN,56219330.0
CAÑAR,2018,ECONOMÍA TOTAL,802704970.0
CAÑAR,2018,ENSEÑANZA,77845660.0
CAÑAR,2018,EXPLOTACIÓN DE MINAS Y CANTERAS,668750.0
CAÑAR,2018,MANUFACTURA,94002260.0
CAÑAR,2018,OTROS SERVICIOS,11326580.0
CAÑAR,2018,SALUD,25371130.0
CAÑAR,2018,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,17763430.0
CAÑAR,2018,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",60790900.0
CAÑAR,2019,ACTIVIDADES FINANCIERAS,58097360.0
CAÑAR,2019,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,47568680.0
CAÑAR,2019,ADMINISTRACIÓN PÚBLICA,119965930.0
CAÑAR,2019,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",124858420.0
CAÑAR,2019,ALOJAMIENTO Y SERVICIOS DE COMIDA,5174040.0
CAÑAR,2019,COMERCIO,78197850.0
CAÑAR,2019,CONSTRUCCIÓN,52581150.0
CAÑAR,2019,ECONOMÍA TOTAL,788834700.0
CAÑAR,2019,ENSEÑANZA,82065650.0
CAÑAR,2019,EXPLOTACIÓN DE MINAS Y CANTERAS,599860.0
CAÑAR,2019,MANUFACTURA,96571230.0
CAÑAR,2019,OTROS SERVICIOS,11970170.0
CAÑAR,2019,SALUD,26924860.0
CAÑAR,2019,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,20133970.0
CAÑAR,2019,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",64125530.0
CAÑAR,2020,ACTIVIDADES FINANCIERAS,53894850.0
CAÑAR,2020,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,36789640.0
CAÑAR,2020,ADMINISTRACIÓN PÚBLICA,128809980.0
CAÑAR,2020,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",113029980.0
CAÑAR,2020,ALOJAMIENTO Y SERVICIOS DE COMIDA,3040430.0
CAÑAR,2020,COMERCIO,62825190.0
CAÑAR,2020,CONSTRUCCIÓN,36364570.0
CAÑAR,2020,ECONOMÍA TOTAL,705026240.0
CAÑAR,2020,ENSEÑANZA,76130750.0
CAÑAR,2020,EXPLOTACIÓN DE MINAS Y CANTERAS,384480.0
CAÑAR,2020,MANUFACTURA,81730510.0
CAÑAR,2020,OTROS SERVICIOS,9425730.0
CAÑAR,2020,SALUD,28606950.0
CAÑAR,2020,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,19069830.0
CAÑAR,2020,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",54923350.0
CAÑAR,2021,ACTIVIDADES FINANCIERAS,62206810.0
CAÑAR,2021,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,38606530.0
CAÑAR,2021,ADMINISTRACIÓN PÚBLICA,129845560.0
CAÑAR,2021,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",102541450.0
CAÑAR,2021,ALOJAMIENTO Y SERVICIOS DE COMIDA,3879550.0
CAÑAR,2021,COMERCIO,73482250.0
CAÑAR,2021,CONSTRUCCIÓN,46459590.0
CAÑAR,2021,ECONOMÍA TOTAL,764813190.0
CAÑAR,2021,ENSEÑANZA,78209400.0
CAÑAR,2021,EXPLOTACIÓN DE MINAS Y CANTERAS,423270.0
CAÑAR,2021,MANUFACTURA,114193200.0
CAÑAR,2021,OTROS SERVICIOS,11128960.0
CAÑAR,2021,SALUD,24466210.0
CAÑAR,2021,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,20334580.0
CAÑAR,2021,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",59035830.0
CAÑAR,2022,ACTIVIDADES FINANCIERAS,73386710.0
CAÑAR,2022,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,44538860.0
CAÑAR,2022,ADMINISTRACIÓN PÚBLICA,149028020.0
CAÑAR,2022,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",77672950.0
CAÑAR,2022,ALOJAMIENTO Y SERVICIOS DE COMIDA,3690480.0
CAÑAR,2022,COMERCIO,92064670.0
CAÑAR,2022,CONSTRUCCIÓN,46961130.0
CAÑAR,2022,ECONOMÍA TOTAL,809849270.0
CAÑAR,2022,ENSEÑANZA,92209840.0
CAÑAR,2022,EXPLOTACIÓN DE MINAS Y CANTERAS,648160.0
CAÑAR,2022,MANUFACTURA,115240010.0
CAÑAR,2022,OTROS SERVICIOS,12216350.0
CAÑAR,2022,SALUD,28885640.0
CAÑAR,2022,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,18459620.0
CAÑAR,2022,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",54846830.0
CAÑAR,2023,ACTIVIDADES FINANCIERAS,73713470.0
CAÑAR,2023,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,46996610.0
CAÑAR,2023,ADMINISTRACIÓN PÚBLICA,71564330.0
CAÑAR,2023,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",113363460.0
CAÑAR,2023,ALOJAMIENTO Y SERVICIOS DE COMIDA,2306980.0
CAÑAR,2023,COMERCIO,99976690.0
CAÑAR,2023,CONSTRUCCIÓN,50062540.0
CAÑAR,2023,ECONOMÍA TOTAL,807578920.0
CAÑAR,2023,ENSEÑANZA,106475330.0
